Country,Day,Daily.cases
Democratic Republic of Congo,45479,0
Democratic Republic of Congo,45480,254
Democratic Republic of Congo,45481,0
Democratic Republic of Congo,45482,0
Democratic Republic of Congo,45483,0
Democratic Republic of Congo,45484,0
Democratic Republic of Congo,45485,0
Democratic Republic of Congo,45486,0
Democratic Republic of Congo,45487,332
Democratic Republic of Congo,45488,0
Democratic Republic of Congo,45489,0
Democratic Republic of Congo,45490,0
Democratic Republic of Congo,45491,0
Democratic Republic of Congo,45492,0
Democratic Republic of Congo,45493,0
Democratic Republic of Congo,45494,428
Democratic Republic of Congo,45495,0
Democratic Republic of Congo,45496,0
Democratic Republic of Congo,45497,0
Democratic Republic of Congo,45498,0
Democratic Republic of Congo,45499,0
Democratic Republic of Congo,45500,0
Democratic Republic of Congo,45501,377
Democratic Republic of Congo,45502,0
Democratic Republic of Congo,45503,0
Democratic Republic of Congo,45504,0
Democratic Republic of Congo,45505,0
Democratic Republic of Congo,45506,0
Democratic Republic of Congo,45507,0
Democratic Republic of Congo,45508,328
Democratic Republic of Congo,45509,0
Democratic Republic of Congo,45510,0
Democratic Republic of Congo,45511,0
Democratic Republic of Congo,45512,0
Democratic Republic of Congo,45513,0
Democratic Republic of Congo,45514,0
Democratic Republic of Congo,45515,324
Democratic Republic of Congo,45516,0
Democratic Republic of Congo,45517,0
Democratic Republic of Congo,45518,0
Democratic Republic of Congo,45519,0
Democratic Republic of Congo,45520,0
Democratic Republic of Congo,45521,0
Democratic Republic of Congo,45522,326
Democratic Republic of Congo,45523,0
Democratic Republic of Congo,45524,0
Democratic Republic of Congo,45525,0
Democratic Republic of Congo,45526,0
Democratic Republic of Congo,45527,0
Democratic Republic of Congo,45528,0
Democratic Republic of Congo,45529,327
Democratic Republic of Congo,45530,0
Democratic Republic of Congo,45531,0
Democratic Republic of Congo,45532,0
Democratic Republic of Congo,45533,0
Democratic Republic of Congo,45534,0
Democratic Republic of Congo,45535,0
Democratic Republic of Congo,45536,317
Democratic Republic of Congo,45537,0
Democratic Republic of Congo,45538,0
Democratic Republic of Congo,45539,0
Democratic Republic of Congo,45540,0
Democratic Republic of Congo,45541,0
Democratic Republic of Congo,45542,0
Democratic Republic of Congo,45543,323
Democratic Republic of Congo,45544,0
Democratic Republic of Congo,45545,0
Democratic Republic of Congo,45546,0
Democratic Republic of Congo,45547,0
Democratic Republic of Congo,45548,0
Democratic Republic of Congo,45549,0
Democratic Republic of Congo,45550,294
Democratic Republic of Congo,45551,0
Democratic Republic of Congo,45552,0
Democratic Republic of Congo,45553,0
Democratic Republic of Congo,45554,0
Democratic Republic of Congo,45555,0
Democratic Republic of Congo,45556,0
Democratic Republic of Congo,45557,326
Democratic Republic of Congo,45558,0
Democratic Republic of Congo,45559,0
Democratic Republic of Congo,45560,0
Democratic Republic of Congo,45561,0
Democratic Republic of Congo,45562,0
Democratic Republic of Congo,45563,0
Democratic Republic of Congo,45564,484
Democratic Republic of Congo,45565,0
Democratic Republic of Congo,45566,0
Democratic Republic of Congo,45567,0
Democratic Republic of Congo,45568,0
Democratic Republic of Congo,45569,0
Democratic Republic of Congo,45570,0
Democratic Republic of Congo,45571,350
Democratic Republic of Congo,45572,0
Democratic Republic of Congo,45573,0
Democratic Republic of Congo,45574,0
Democratic Republic of Congo,45575,0
Democratic Republic of Congo,45576,0
Democratic Republic of Congo,45577,0
Democratic Republic of Congo,45578,358
Democratic Republic of Congo,45579,0
Democratic Republic of Congo,45580,0
Democratic Republic of Congo,45581,0
Democratic Republic of Congo,45582,0
Democratic Republic of Congo,45583,0
Democratic Republic of Congo,45584,0
Democratic Republic of Congo,45585,326
Democratic Republic of Congo,45586,0
Democratic Republic of Congo,45587,0
Democratic Republic of Congo,45588,0
Democratic Republic of Congo,45589,0
Democratic Republic of Congo,45590,0
Democratic Republic of Congo,45591,0
Democratic Republic of Congo,45592,272
Democratic Republic of Congo,45593,0
Democratic Republic of Congo,45594,0
Democratic Republic of Congo,45595,0
Democratic Republic of Congo,45596,0
Democratic Republic of Congo,45597,0
Democratic Republic of Congo,45598,0
Democratic Republic of Congo,45599,156
Democratic Republic of Congo,45600,0
Democratic Republic of Congo,45601,0
Democratic Republic of Congo,45602,0
Democratic Republic of Congo,45603,0
Democratic Republic of Congo,45604,0
Democratic Republic of Congo,45605,0
Democratic Republic of Congo,45606,81
