Country,Day,Daily.cases
United States,45088,0
United States,45089,0
United States,45090,29
United States,45091,0
United States,45092,0
United States,45093,0
United States,45094,0
United States,45095,0
United States,45096,0
United States,45097,26
United States,45098,0
United States,45099,0
United States,45100,0
United States,45101,0
United States,45102,0
United States,45103,0
United States,45104,29
United States,45105,0
United States,45106,0
United States,45107,0
United States,45108,0
United States,45109,0
United States,45110,0
United States,45111,33
United States,45112,0
United States,45113,0
United States,45114,0
United States,45115,0
United States,45116,0
United States,45117,0
United States,45118,35
United States,45119,0
United States,45120,0
United States,45121,0
United States,45122,0
United States,45123,0
United States,45124,0
United States,45125,21
United States,45126,0
United States,45127,0
United States,45128,0
United States,45129,0
United States,45130,0
United States,45131,0
United States,45132,23
United States,45133,0
United States,45134,0
United States,45135,0
United States,45136,0
United States,45137,0
United States,45138,0
United States,45139,29
United States,45140,0
United States,45141,0
United States,45142,0
United States,45143,0
United States,45144,0
United States,45145,0
United States,45146,24
United States,45147,0
United States,45148,0
United States,45149,0
United States,45150,0
United States,45151,0
United States,45152,0
United States,45153,23
United States,45154,0
United States,45155,0
United States,45156,0
United States,45157,0
United States,45158,0
United States,45159,0
United States,45160,21
United States,45161,0
United States,45162,0
United States,45163,0
United States,45164,0
United States,45165,0
United States,45166,0
United States,45167,15
United States,45168,0
United States,45169,0
United States,45170,0
United States,45171,0
United States,45172,0
United States,45173,0
United States,45174,25
United States,45175,0
United States,45176,0
United States,45177,0
United States,45178,0
United States,45179,0
United States,45180,0
United States,45181,36
United States,45182,0
United States,45183,0
United States,45184,0
United States,45185,0
United States,45186,0
United States,45187,0
United States,45188,38
United States,45189,0
United States,45190,0
United States,45191,0
United States,45192,0
United States,45193,0
United States,45194,0
United States,45195,34
United States,45196,0
United States,45197,0
United States,45198,0
United States,45199,0
United States,45200,0
United States,45201,0
United States,45202,53
United States,45203,0
United States,45204,0
United States,45205,0
United States,45206,0
United States,45207,0
United States,45208,0
United States,45209,64
United States,45210,0
United States,45211,0
United States,45212,0
United States,45213,0
United States,45214,0
United States,45215,0
United States,45216,65
United States,45217,0
United States,45218,0
United States,45219,0
United States,45220,0
United States,45221,0
United States,45222,0
United States,45223,61
United States,45224,0
United States,45225,0
United States,45226,0
United States,45227,0
United States,45228,0
United States,45229,0
United States,45230,58
United States,45231,0
United States,45232,0
United States,45233,0
United States,45234,0
United States,45235,0
United States,45236,0
United States,45237,73
United States,45238,0
United States,45239,0
United States,45240,0
United States,45241,0
United States,45242,0
United States,45243,0
United States,45244,72
United States,45245,0
United States,45246,0
United States,45247,0
United States,45248,0
United States,45249,0
United States,45250,0
United States,45251,59
